一  1
乙  5
二  1 1
十  1 2
丁  1 2
厂  1 3
七  1 5
卜  2 4
八  3 4
人  3 4
入  3 4
乂  3 4
儿  3 5
匕  3 5
几  3 5
九  3 5
刁  5 1
了  5 2
刀  5 3
力  5 3
乃  5 3
又  5 4
乜  5 5
三  1 1 1
干  1 1 2
亍  1 1 2
于  1 1 2
亏  1 1 5
工  1 2 1
土  1 2 1
士  1 2 1
才  1 2 3
下  1 2 4
寸  1 2 4
大  1 3 4
丈  1 3 4
兀  1 3 5
尢  1 3 5
与  1 5 1
万  1 5 3
弋  1 5 4
上  2 1 1
小  2 3 4
口  2 5 1
山  2 5 2
巾  2 5 2
千  3 1 2
乞  3 1 5
川  3 2 2
亿  3 2 5
彳  3 3 2
个  3 4 2
夕  3 5 4
久  3 5 4
么  3 5 4
勺  3 5 4
凡  3 5 4
丸  3 5 4
及  3 5 4
广  4 1 3
亡  4 1 5
门  4 2 5
丫  4 3 2
义  4 3 4
之  4 5 4
尸  5 1 3
己  5 1 5
已  5 1 5
巳  5 1 5
弓  5 1 5
子  5 2 1
孑  5 2 1
卫  5 2 1
孓  5 2 4
也  5 2 5
女  5 3 1
刃  5 3 4
飞  5 3 4
习  5 4 1
叉  5 4 4
马  5 5 1
乡  5 5 3
幺  5 5 4
丰  1 1 1 2
王  1 1 2 1
亓  1 1 3 2
开  1 1 3 2
井  1 1 3 2
天  1 1 3 4
夫  1 1 3 4
元  1 1 3 5
无  1 1 3 5
韦  1 1 5 2
云  1 1 5 4
专  1 1 5 4
丐  1 2 1 5
扎  1 2 1 5
廿  1 2 2 1
艺  1 2 2 5
木  1 2 3 4
五  1 2 5 1
支  1 2 5 4
丏  1 2 5 5
厅  1 3 1 2
卅  1 3 2 2
不  1 3 2 4
仄  1 3 3 4
犬  1 3 4 4
太  1 3 4 4
区  1 3 4 5
历  1 3 5 3
歹  1 3 5 4
友  1 3 5 4
尤  1 3 5 4
厄  1 3 5 5
匹  1 3 5 5
车  1 5 1 2
巨  1 5 1 5
牙  1 5 2 3
屯  1 5 2 5
戈  1 5 3 4
比  1 5 3 5
互  1 5 5 1
切  1 5 5 3
瓦  1 5 5 4
止  2 1 2 1
少  2 3 4 3
曰  2 5 1 1
日  2 5 1 1
中  2 5 1 2
贝  2 5 3 4
冈  2 5 3 4
内  2 5 3 4
水  2 5 3 4
见  2 5 3 5
午  3 1 1 2
牛  3 1 1 2
手  3 1 1 2
气  3 1 1 5
毛  3 1 1 5
壬  3 1 2 1
升  3 1 3 2
夭  3 1 3 4
长  3 1 5 4
仁  3 2 1 1
什  3 2 1 2
仃  3 2 1 2
片  3 2 1 5
仆  3 2 2 4
化  3 2 3 5
仉  3 2 3 5
仇  3 2 3 5
币  3 2 5 2
仂  3 2 5 3
仍  3 2 5 3
仅  3 2 5 4
斤  3 3 1 2
爪  3 3 2 4
反  3 3 5 4
兮  3 4 1 5
刈  3 4 2 2
介  3 4 3 2
父  3 4 3 4
从  3 4 3 4
爻  3 4 3 4
仑  3 4 3 5
今  3 4 4 5
凶  3 4 5 2
分  3 4 5 3
乏  3 4 5 4
公  3 4 5 4
仓  3 4 5 5
月  3 5 1 1
氏  3 5 1 5
勿  3 5 3 3
欠  3 5 3 4
风  3 5 3 4
丹  3 5 4 1
匀  3 5 4 1
乌  3 5 5 1
卬  3 5 5 2
殳  3 5 5 4
勾  3 5 5 4
凤  3 5 5 4
卞  4 1 2 4
六  4 1 3 4
文  4 1 3 4
亢  4 1 3 5
方  4 1 5 3
闩  4 2 5 1
火  4 3 3 4
为  4 3 5 4
斗  4 4 1 2
忆  4 4 2 5
计  4 5 1 2
订  4 5 1 2
户  4 5 1 3
讣  4 5 2 4
认  4 5 3 4
冗  4 5 3 5
讥  4 5 3 5
心  4 5 4 4
尹  5 1 1 3
尺  5 1 3 4
夬  5 1 3 4
引  5 1 5 2
丑  5 2 1 1
爿  5 2 1 3
巴  5 2 1 5
孔  5 2 1 5
队  5 2 3 4
𠙶  5 2 5 2
办  5 3 4 4
以  5 4 3 4
允  5 4 3 5
予  5 4 5 2
邓  5 4 5 2
劝  5 4 5 3
双  5 4 5 4
